i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
122,5,1.0,2.2763636363636364,0.0761904761904762,8.98,3.638609136470665,1.0,0.0,0.0
123,5,0.8,1.6563636363636358,0.08571428571428572,13.959999999999999,3.6933447722944366,1.0,0.0,0.0
124,5,0.8,0.9660606060606061,0.06666666666666667,9.02,5.256174214880681,1.0,0.0,0.0
125,5,0.8,1.1990909090909092,0.0761904761904762,15.559999999999999,4.894817334035527,1.0,0.0,0.0
126,5,1.0,0.8678787878787878,0.0761904761904762,6.239999999999999,4.27641047853333,1.0,0.0,0.0
127,5,0.8,1.3393939393939394,0.06666666666666667,5.139999999999999,4.0535618663267545,1.0,0.0,0.0
128,5,1.0,1.5415151515151515,0.0761904761904762,23.76,3.842834729850224,1.0,0.0,0.0
129,5,0.4,0.666060606060606,0.06666666666666667,7.159999999999999,5.255517784817563,1.0,0.0,0.0
130,5,0.6,1.6645454545454546,0.0761904761904762,15.219999999999999,3.462548264686154,1.0,0.0,0.0
131,5,1.0,1.8257575757575757,0.0761904761904762,26.619999999999997,3.180950728580389,1.0,0.0,0.0
132,5,0.8,1.4503030303030304,0.0761904761904762,19.139999999999997,3.7623312738917836,1.0,0.0,0.0
133,5,1.0,1.6339393939393936,0.08571428571428572,12.379999999999999,2.5238727125531137,1.0,0.0,0.0
134,5,0.6,1.6345454545454547,0.0761904761904762,14.319999999999999,5.338583189980378,1.0,0.0,0.0
135,5,1.0,1.3963636363636365,0.0761904761904762,3.3800000000000003,2.7307238727670056,1.0,0.0,0.0
136,5,0.8,1.3542424242424242,0.06666666666666667,12.16,3.3085372189017646,1.0,0.0,0.0
137,5,1.0,1.6309090909090909,0.08571428571428572,18.4,5.245421339649647,1.0,0.0,0.0
138,5,0.6,1.3381818181818184,0.0761904761904762,15.260000000000002,3.6784029345633438,1.0,0.0,0.0
139,5,0.8,1.54,0.08571428571428572,5.8,4.060685536296135,1.0,0.0,0.0
140,5,0.8,1.4706060606060607,0.06666666666666667,18.6,4.006649502683429,1.0,0.0,0.0
141,5,1.0,1.3903030303030304,0.08571428571428572,12.66,6.396050666970577,1.0,0.0,0.0
142,5,0.8,1.4709090909090912,0.09523809523809523,12.580000000000002,4.2192848245901535,1.0,0.0,0.0
143,5,0.8,1.4536363636363636,0.0761904761904762,20.439999999999998,3.1673442475112545,1.0,0.0,0.0
144,5,1.0,2.2806060606060607,0.0761904761904762,9.64,3.1533582945826466,1.0,0.0,0.0
145,5,0.6,0.9521212121212121,0.05714285714285714,19.32,5.295699422249485,1.0,0.0,0.0
146,5,1.0,1.4624242424242424,0.08571428571428572,19.04,5.1500394506199605,1.0,0.0,0.0
147,5,0.6,1.4133333333333333,0.06666666666666667,17.419999999999998,3.1722968230004414,1.0,0.0,0.0
148,5,0.8,1.5393939393939393,0.06666666666666667,14.439999999999998,2.6852820487771476,1.0,0.0,0.0
149,5,1.0,2.0266666666666664,0.0761904761904762,31.0,5.254695708648027,1.0,0.0,0.0
150,5,1.0,2.4381818181818184,0.0761904761904762,21.04,4.163242628676712,1.0,0.0,0.0
151,5,0.8,1.342727272727273,0.06666666666666667,5.820000000000002,2.9380625670501135,1.0,0.0,0.0
152,5,1.0,2.714848484848485,0.08571428571428572,25.74,5.0646166671687345,1.0,0.0,0.0
153,5,0.6,2.021818181818182,0.06666666666666667,30.380000000000003,6.632012854013854,1.0,0.0,0.0
154,5,0.4,1.3451515151515152,0.0761904761904762,21.8,7.673707226230878,1.0,0.0,0.0
155,5,1.0,1.2696969696969698,0.06666666666666667,3.5,2.6260309931410686,1.0,0.0,0.0
156,5,0.6,1.660909090909091,0.0761904761904762,22.32,4.725742949316907,1.0,0.0,0.0
157,5,1.0,1.363030303030303,0.0761904761904762,2.6800000000000006,6.3242925713728955,1.0,0.0,0.0
158,5,0.6,2.2206060606060607,0.06666666666666667,41.879999999999995,8.193760466595883,1.0,0.0,0.0
159,5,1.0,1.3187878787878788,0.05714285714285714,15.120000000000001,2.6212303315442815,1.0,0.0,0.0
160,5,0.8,0.9066666666666666,0.05714285714285714,3.38,3.2974670813382496,1.0,0.0,0.0
161,5,0.6,1.683939393939394,0.08571428571428572,29.860000000000003,5.037040463280693,1.0,0.0,0.0
162,5,0.6,1.0903030303030303,0.06666666666666667,6.619999999999999,2.4185979011506116,1.0,0.0,0.0
163,5,0.8,1.1296969696969696,0.05714285714285714,10.74,3.6172699838617675,1.0,0.0,0.0
164,5,0.6,1.6418181818181818,0.06666666666666667,20.8,3.705494429400814,1.0,0.0,0.0
