i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
103,5,1.0,1.4545454545454546,0.0761904761904762,17.6,5.271233646420066,1.0,0.0,0.0
104,5,1.0,1.1254545454545455,0.06666666666666667,4.219999999999999,3.002500834973411,1.0,0.0,0.0
105,5,0.8,1.3963636363636363,0.06666666666666667,30.459999999999997,4.4800351664073,1.0,0.0,0.0
106,5,1.0,1.9936363636363637,0.08571428571428572,6.519999999999999,4.433179619228904,1.0,0.0,0.0
107,5,1.0,1.3575757575757579,0.05714285714285714,12.64,2.8753708174278794,1.0,0.0,0.0
108,5,0.8,1.1575757575757575,0.08571428571428572,28.419999999999998,4.487454018082197,1.0,0.0,0.0
109,5,0.8,1.053939393939394,0.05714285714285714,16.999999999999996,6.388451631838588,1.0,0.0,0.0
110,5,0.8,1.528181818181818,0.0761904761904762,13.139999999999997,3.6636706716175014,1.0,0.0,0.0
111,5,0.6,1.6336363636363636,0.0761904761904762,20.6,2.739382115197604,1.0,0.0,0.0
112,5,0.8,1.2024242424242424,0.0761904761904762,14.64,3.746897899722055,1.0,0.0,0.0
113,5,0.8,1.6266666666666665,0.05714285714285714,17.68,3.319262173756113,0.8,0.0,0.0
114,5,0.6,1.1284848484848484,0.0761904761904762,10.24,4.255061923005247,1.0,0.0,0.0
115,5,0.8,1.1654545454545455,0.0761904761904762,9.240000000000002,4.111881881977403,1.0,0.0,0.0
116,5,0.6,1.393939393939394,0.06666666666666667,14.540000000000001,3.6240133968849326,0.8,0.0,0.0
117,5,1.0,1.1693939393939394,0.0761904761904762,15.16,3.0359296191821996,1.0,0.0,0.0
118,5,1.0,1.6809090909090911,0.08571428571428572,27.579999999999995,7.038526301052585,1.0,0.0,0.0
119,5,1.0,1.0424242424242425,0.06666666666666667,16.78,3.582804733489602,1.0,0.0,0.0
120,5,0.6,1.2493939393939395,0.08571428571428572,9.580000000000002,3.0102198734446257,1.0,0.0,0.0
121,5,0.8,0.967878787878788,0.06666666666666667,20.28,5.545108756660629,0.8,0.0,0.0
122,5,1.0,2.1815151515151516,0.0761904761904762,21.68,4.984230649237749,1.0,0.0,0.0
123,5,0.4,1.303030303030303,0.06666666666666667,6.0,3.5883195828538414,1.0,0.0,0.0
124,5,0.8,0.9969696969696968,0.06666666666666667,13.02,5.040847938079841,1.0,0.0,0.0
125,5,0.8,1.406060606060606,0.0761904761904762,12.98,3.9018014824713863,1.0,0.0,0.0
126,5,0.8,0.9012121212121211,0.06666666666666667,12.44,4.097302554270158,1.0,0.0,0.0
127,5,1.0,1.7175757575757575,0.08571428571428572,13.280000000000001,4.6370007969362295,1.0,0.0,0.0
128,5,1.0,1.9384848484848483,0.09523809523809523,24.8,3.4399922673948096,1.0,0.0,0.0
129,5,0.8,1.3254545454545454,0.08571428571428572,4.96,5.436752950549171,1.0,0.0,0.0
130,5,0.6,1.8684848484848484,0.0761904761904762,3.5599999999999996,3.177779860677857,1.0,0.0,0.0
131,5,1.0,1.7921212121212122,0.06666666666666667,7.32,2.481536314804717,1.0,0.0,0.0
132,5,0.6,1.243030303030303,0.06666666666666667,14.88,3.8189922784784796,1.0,0.0,0.0
133,5,1.0,1.3503030303030301,0.047619047619047616,4.06,2.3788348977058478,1.0,0.0,0.0
134,5,0.2,1.3424242424242425,0.05714285714285714,18.939999999999998,5.138625075700264,1.0,0.0,0.0
135,5,1.0,1.270909090909091,0.0761904761904762,5.640000000000001,2.9327273413217534,1.0,0.0,0.0
136,5,0.8,1.2103030303030304,0.05714285714285714,16.02,3.645617971774005,0.8,0.0,0.0
